_id,ltable_id,rtable_place_id,ltable_name,ltable_address,ltable_phone,ltable_lat,ltable_long,rtable_name,rtable_address,rtable_phone,rtable_lat,rtable_long,predicted
5661,NT3UG92ZPAKFl69FnFs5YA,ChIJ5WOTZI0B3IAR0p5ZVXPIcl4,dirty birds,4656 mission blvd san diego ca 92109,8582742473,32.79864,-117.25641,dirty birds,2734 4656 mission blvd san diego ca 92109 usa,8582742473,32.79870560000001,-117.2563861,1
5663,zoaEXcBQ5KW_ChnrgdDo2g,ChIJNZHkLYUB3IARcfCOIr3oceg,the french gourmet,960 turquoise st san diego ca 92109,8584881725,32.80955,-117.25638000000001,the french gourmet,960 turquoise st san diego ca 92109 usa,8584881725,32.809529,-117.25637900000001,1
5664,AaHEmS1T1wx03LoGo5BcDQ,ChIJtygQx4UB3IART9Coi4Ckjeg,los dos pedros,723 turquoise st san diego ca 92109,8584883102,32.808158899999995,-117.2603912,los dos pedros,723 turquoise st san diego ca 92109 usa,8584883102,32.8081678,-117.260378,1
5665,u1O3IvpF2AVzZ1dMVy3FIQ,ChIJtVgYFpAB3IAR32fykNSbdac,second nature,5026 cass st san diego ca 92109,8582475236,32.8064230252045,-117.25480401212201,second nature,5026 cass st san diego ca 92109 usa,8582475236,32.8064211,-117.2548363,1
5670,p-ZMSN_q9cGKKNSRStDlDw,ChIJUSkPLtwB3IARwIMaPXw_gDo,safi mediterranean grill,4614 mission blvd san diego ca 92109,8582701101,32.799373086114,-117.257906866985,safi mediterranean grill,4614 mission blvd san diego ca 92109 usa,8582701101,32.797812199999996,-117.25606470000001,1
5671,p19Ijm9t4dKjDuJW3xKOyQ,ChIJM6dSAoIB3IARLj98QmM7lGw,taqueria los ruiz,5010 cass st ste k san diego ca 92109,8582706343,32.805902824644,-117.255055345595,taqueria los ruiz,5010 cass st suite k san diego ca 92109 usa,8582706343,32.8058657,-117.2549253,1
5672,ac8YSpGmPGKWl_Q3XfNRUg,ChIJsVKtFoUB3IARYj-KRbBDxqE,cafe bar europa,873 turquoise st san diego ca 92109,8584884200,32.80869000000001,-117.25769,cafe bar europa,873 turquoise st san diego ca 92109 usa,8584884200,32.8087521,-117.25771409999999,1
5674,Q6N4rqLht_R1k7k-DEY15g,ChIJX_NCYo0B3IARB4VN_feMe_A,mr moto pizza,4653 mission blvd san diego ca 92109,8584900501,32.7986736693761,-117.25594783262699,mr. moto pizza pacific beach,4653 mission blvd san diego ca 92109 usa,8584900501,32.7987407,-117.25595190000001,1
5675,LoP62Bco299pmEuWXawn5A,ChIJ2bnUiyoC3IARqjpZ5rjOUMA,don bravos authentic mexican cusine,5504 la jolla blvd la jolla ca 92037,8584548940,32.812423706054695,-117.268730163574,don bravo,5504 la jolla blvd la jolla ca 92037 usa,8584548940,32.812490000000004,-117.26858,1
5676,S0qsPppBFpiVmg7nenThOw,ChIJ7abmZY0B3IARudyUrwGLfOo,oscars mexican seafood,746 emerald st san diego ca 92109,8584124009,32.798518,-117.25652,oscars mexican seafood,746 emerald st san diego ca 92109 usa,8584124009,32.7985181,-117.2565189,1
5679,5dCfTvgxcuitln4cCk5Tow,ChIJva6YZo0B3IARuNIpZToyvkw,the duck dive,4650 mission blvd san diego ca 92109,8582733825,32.7986412,-117.25640870000001,the duck dive,4650 mission blvd san diego ca 92109 usa,8582733825,32.7985203,-117.25631489999999,1
5681,Zj9VKqmtlGcsPS6l7o88Ig,ChIJZQQk_coB3IARxf0vVRq4Za0,pizza pal,5010 cass st ste j san diego ca 92109,8582707772,32.806047,-117.25495900000001,pizza pal,5010 cass st suite j san diego ca 92109 usa,8582707772,32.805931699999995,-117.25498799999998,1
5689,19x90_yOoljPPa-KDcLsLg,ChIJ7yOKul8B3IARdh6ZFhO89Mk,harry's taco club,4612 cass st san diego ca 92109,nan,32.7986742786113,-117.252488136292,california taco club,4465 mission blvd san diego ca 92109 usa,nan,32.7960781,-117.25517240000002,1
5692,jaIbmMqEt0K0BxpvIekaDA,ChIJf995pZoB3IARt7PHLvWLi6s,fig tree cafe,5119 cass st pacific beach ca 92109,8582742233,32.80809,-117.2548,fig tree cafe pacific beach,5119 cass st san diego ca 92109 usa,8582742233,32.8080468,-117.25479240000001,1
